Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
118964059,3000,3000,BikeExchange,???,Bianchi,road-bike,Bianchi Aria Rim Brake Used like new,,XL / Celeste / 59cm,,Shimano Ultegra
119029892,400,400,BikeExchange,???,Giant,road-bike,Giant Expressway 1 (2016),,,One Size,
119046740,1350,1350,BikeExchange,???,Merida,road-bike,2022 Merida Scultura 400 - Large,,Large / Black / -,,Shimano 105
119013560,2999,2999,BikeExchange,???,Scott,road-bike,Scott Ransom 920 XL 2022,,XL / Silver,,
118997665,2750,2750,BikeExchange,???,Giant,road-bike,M/L Giant Defy Advanced 2,Defy Advanced 2,,M/L,Shimano 105
118997661,2500,2999,BikeExchange,???,Intense,road-bike,Primer Intense Pro Spec 2019 L,,,Large,
119071438,5500,5500,BikeExchange,???,Pivot,road-bike,Pivot Mach 4 SL XTR Team 'Live' (Size Medium),,,Medium,
119059335,2750,2750,BikeExchange,???,Trek,road-bike,2019 Trek Madone SL6 – 56cm,,- / Black / 56cm,,Shimano Ultegra
119013371,800,800,BikeExchange,???,Tokyobike,road-bike,Tokyobike Bisou - Medium,,Medium / Black,,
119066048,1099,1099,BikeExchange,???,Giant,road-bike,Giant Defy 1 58.5cm 2009,,L/XL / Green / 58.5cm,,Shimano Tiagra
118910397,1600,2100,BikeExchange,???,Apollo,road-bike,Apollo Trail D20 Carbon MTB,,,Large,
